رقم الخط,المواقف,السعر
505,"مساكن شيراتون, ميدان الحجاز, شارع النزهة, روكسي, العباسية, رمسيس, كورنيش النيل, كوبري 15 مايو, الزمالك, 26 يوليو, السودان, میدان لبنان",20 جنيه
555,"مؤسسة الزكاة, شارع جسر السويس, ميدان الالف مسكن, ميدان الحجاز, شارع العروبة, مطار القاهرة",20 جنيه
606,"البراجيل, محطة قطارات بشتيل, ميدان سفنكس, عبد المنعم رياض, رمسيس, عباسية, صلاح سالم, الطيران, مكرم عبيد, احمد الزمر, الحي العاشر, الواحة",20 جنيه
616,"زهراء مدينة نصر, احمد الزمر, مصطفى النحاس, مكرم عبيد, الطيران, روكسي, ش القبه, سراي القبة للأنفاق (دائري )",20 جنيه
700,"القناطر الخيرية, طريق القاهرة / الإسكندرية الزراعي, المؤسسة, جامعة القاهرة, م الجيزة, شارع الهرم, م الرماية, طريق الواحات, الحي السادس بمدينة 6 أكتوبر",20 جنيه
701,"العمرانية, ميدان الجيزة, صلاح سالم, السيدة عائشة, ش بورسعيد, العباسية, جسر السويس, الألف مسكن, ش عبد الحميد بدوي, مطار القاهرة",20 جنيه
702,"كهرباء الأهرام, طريق المريوطية, شارع فيصل, شارع الروضة, كورنيش النيل, فم الخليج, السيدة زينب, ش بورسعيد, التحرير, شارع رمسيس, احمد حلمي",20 جنيه
705,"موقف الرماية الجديد, شارع فيصل, م الجيزة, شارع القصر العيني, رمسيس, عباسية, نادي السكة, طريق النصر, طريق السويس, مدينة الامل",20 جنيه
706,"أرض اللواء, السودان, كوبري 15 مايو, الزمالك, رمسيس, العتبة, ميدان الجيش, امتداد رمسيس, الفنجري, طريق النصر, طريق السويس, الرحاب",20 جنيه
707,"جاردينيا سيتي, شارع الميثاق, مصطفى النحاس, طريق النصر, هشام بركات, الفنجري, العباسية, التحرير, ش السراي, كوبري الجامعة, ميدان الجيزة",20 جنيه
755,"ام بيومي, الشارع الجديد, مسطرد, السواح, ش بورسعيد, رمسيس, العتبة, السيدة عائشة, اسكان الخيالة الجديد, الأوتوستراد, صقر قريش",20 جنيه
777,"عرب الطوايلة, مسطرد, السواح, المطرية, حدائق القبة, طريق الفنجري, طريق النصر, مكرم عبيد, شارع الميثاق, نفق الجولف, القطامية",20 جنيه
2001,"أبو الهول, شارع الهرم, كوبري الملك فيصل, ميدان الدقي, ميدان التحرير, شارع النيل, الكيت كات, كوبري روض الفرج, غرب شبرا الخيمة",20 جنيه
2002,"غرب شبرا الخيمة, كورنيش النيل, تحرير, القصر العيني, جامعه القاهرة, ميدان الجيزة, شارع الهرم, ميدان الرماية, طريق الفيوم, هضبه الهرم",20 جنيه
2003,"قليوب, طريق مصر الاسكندرية الزراعي, الطريق الدائري, ميدان جهينة, جامعة مصر, جهاز المدينة, الحى الثاني عشر بمدينة 6 أكتوبر",20 جنيه
G1,"حدائق اكتوبر, طريق الواحات, م الرماية, شارع فيصل, جامعة القاهرة, قصر العيني, التحرير, رمسيس, عباسية, طريق النصر, هشام بركات, الحى السابع",20 جنيه
G2,"حدائق اكتوبر, شارع الهرم, ميدان الجيزة, الدقي, التحرير, رمسيس, العباسية, الخليفة المأمون, شارع الميرغني, شارع احمد تيسير, كلية بنات عين شمس",20 جنيه
M5,"الجامعة الامريكية اللوتس, ش التسعين, محور الشهيد, ش المخيم الدائم, ش امتداد رمسيس, م العباسية, ش رمسيس, ش الجلاء, محطة عبد المنعم رياض (2)",25 جنيه
M7,"حدائق الاهرام, طريق الفيوم, ميدان الرماية, ش الهرم, ش جامعة القاهرة, ش نهضة مصر, كوبري الجامعة, ش القصر العيني, التحرير, عبد المنعم رياض 1",25 جنيه
M10,"6 أكتوبر, ميدان الحصري, جهاز المدينة, محور 26 يوليو, ميدان لبنان, 15 مايو, كورنيش النيل, عبد المنعم رياض 1",25 جنيه
